record_id,subject_id,object_id,predicate_id,mapping_justification,author_id,confidence,comment
ex:map15,ex:ekaw:Submitted_Paper,ex:iasted:Initial_manuscipt,skos:closeMatch,semapv:SemanticSimilarityThresholdMatching,,0.82,Submitted_Paper is close to Initial_manuscipt as both represent the initial version sent for review.
ex:map16,ex:ekaw:Accepted_Paper,ex:iasted:Final_manuscript,skos:relatedMatch,semapv:StructuralMatching,,0.61,"Accepted paper is related to final manuscript through the publication workflow, but EKAW explicitly distinguishes accepted from camera-ready."
ex:map17,ex:ekaw:Rejected_Paper,ex:iasted:Refusing_manuscript,skos:relatedMatch,semapv:BackgroundKnowledgeBasedMatching,,0.58,"Rejected_Paper denotes a rejected artifact, while Refusing_manuscript appears to denote the rejection process/activity rather than the paper itself."
ex:map18,ex:ekaw:Conference_Banquet,ex:iasted:Dinner_banquet,owl:equivalentClass,semapv:LexicalSimilarityThresholdMatching,,0.93,Conference banquet and dinner banquet refer to the same kind of social event in the conference context.
ex:map19,ex:ekaw:Conference_Trip,ex:iasted:Full_day_tour,skos:closeMatch,semapv:SemanticSimilarityThresholdMatching,,0.8,"Both denote an excursion/trip associated with the conference, though duration/detail may differ."
ex:map20,ex:ekaw:Social_Event,ex:iasted:Social_program,owl:equivalentClass,semapv:SemanticSimilarityThresholdMatching,,0.84,Both classes cover social activities organized for conference participants.
ex:map21,ex:ekaw:Location,ex:iasted:Place,owl:equivalentClass,semapv:SemanticSimilarityThresholdMatching,,0.88,EKAW Location and IASTED Place both represent locations where conference-related entities occur.
ex:map22,ex:ekaw:University,ex:iasted:Presenter_university,skos:broadMatch,semapv:SemanticSimilarityThresholdMatching,,0.69,"University is broader than Presenter_university, which seems to denote a university associated with a presenter."
ex:map23,ex:ekaw:Proceedings,ex:iasted:Publication,rdfs:subClassOf,semapv:StructuralMatching,,0.77,Proceedings are a specific kind of publication; IASTED Publication is broader.
ex:map24,ex:ekaw:Conference_Proceedings,ex:iasted:Book_proceeding,skos:closeMatch,semapv:LexicalSimilarityThresholdMatching,,0.83,Conference proceedings closely match book proceedings as a proceedings publication format.
ex:map25,ex:ekaw:Workshop,ex:iasted:Session,skos:relatedMatch,semapv:SemanticSimilarityThresholdMatching,,0.42,Workshop has no clear direct equivalent in IASTED; Session is only loosely related as a conference activity.
ex:map26,ex:ekaw:writtenBy,ex:iasted:is_writen_by,owl:equivalentProperty,semapv:LexicalSimilarityThresholdMatching,,0.95,Both properties relate a document/item to its author/writer; one is inverse-style naming with spelling variation.
ex:map27,ex:ekaw:authorOf,ex:iasted:write,skos:relatedMatch,semapv:StructuralMatching,,0.71,"EKAW authorOf links person to document, while IASTED write links person to item; they are closely related but not strictly equivalent."
ex:map28,ex:ekaw:hasReviewer,ex:iasted:is_writen_by,skos:relatedMatch,semapv:StructuralMatching,,0.46,"A reviewer relation in EKAW is related to the writer of a review in IASTED, but the properties connect different argument structures."
ex:map29,ex:ekaw:hasReview,ex:iasted:Review,skos:relatedMatch,semapv:StructuralMatching,,0.4,"EKAW hasReview is a property, while IASTED Review is a class; included as a weak related mapping only because no direct property match is present."
ex:map30,ex:ekaw:heldIn,ex:iasted:is_held_in,skos:closeMatch,semapv:LexicalSimilarityThresholdMatching,,0.79,"Both properties express where an event/activity takes place, though domain/range differ somewhat between ontologies."
