subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment	mapping_set_id	mapping_set_version	mapping_set_description	license
dyn:addSupP	addSupP	skos:closeMatch	och:AddSubPropertyOf	Add Sub Property Of	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.85	Both involve adding a subproperty relationship.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:delSupP	delSupP	skos:closeMatch	och:RemoveSubPropertyOf	Remove Sub Property Of	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.85	Both involve removing a subproperty relationship.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:BasicChangeInstances	BasicChangeInstances	rdfs:subClassOf	och:IndividualChange	Individual Change	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.9	Basic changes related to instances/individuals.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:addI	addI	skos:closeMatch	och:AddIndividual	Add Individual	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.95	Both represent adding an instance/individual.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:delI	delI	skos:closeMatch	och:RemoveIndividual	Remove Individual	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.95	Both represent removing an instance/individual.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:BasicChangeAttributes	BasicChangeAttributes	rdfs:subClassOf	och:EntityAnnotationChange	Change to the Annotation of an Entity	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.85	Both deal with changes to annotations/literals (e.g., label, comment).	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:addLabel	addLabel	skos:closeMatch	och:AddAnnotationToEntity	Add Annotation to Entity	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.8	Adding a label is a type of annotation addition.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:delLabel	delLabel	skos:closeMatch	och:RemoveAnnotationFromEntity	Remove Annotation from Entity	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.8	Deleting a label is a type of annotation removal.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:addComment	addComment	skos:closeMatch	och:AddAnnotationToEntity	Add Annotation to Entity	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.8	Adding a comment is a type of annotation addition.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:delComment	delComment	skos:closeMatch	och:RemoveAnnotationFromEntity	Remove Annotation from Entity	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.8	Deleting a comment is a type of annotation removal.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:newOntologyVersion	newVersion	owl:equivalentClass	och:newVersion	new version	semapv:LexicalMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.95	Both represent the new version of an ontology in a change context.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:oldOntologyVersion	oldVersion	owl:equivalentClass	och:prevVersion	previous version	semapv:LexicalMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.95	Both represent the previous/old version of an ontology in a change context.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:isPartOf	isPartOf	skos:relatedMatch	och:relatedChange	related change	semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.7	Both indicate a relationship between changes (composition vs. generic relation).	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:madeUpOf	madeUpOf	skos:relatedMatch	och:relatedChange	related change	semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.7	Inverse of isPartOf; indicates composition of changes.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:appliesTo	appliesTo	skos:relatedMatch	och:prevVersion	previous version	semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.6	Both relate a change to the old version (appliesTo vs. changelog's prevVersion).	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:resultsIn	resultsIn	skos:relatedMatch	och:newVersion	new version	semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.6	Both relate a change to the new version (resultsIn vs. changelog's newVersion).	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
