subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	mapping_set_id	mapping_set_version	mapping_set_description	license	subject_source	subject_source_version	object_source	object_source_version	confidence	comment
och:RenameEntity	Rename Entity	skos:closeMatch	chg:renI	renI	semapv:SemanticSimilarityThresholdMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.70	DynDiff has separate renC, renP, renI for different entity types, while OCH has a general RenameEntity
och:DeprecateEntity	Deprecate Entity	skos:closeMatch	chg:toObs	toObs	semapv:LexicalSimilarityThresholdMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.80	Both represent marking an entity as obsolete/deprecated
och:RevokeDeprecate	Revoke Deprecate	skos:closeMatch	chg:revObs	revObs	semapv:LexicalSimilarityThresholdMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.80	Both represent removing obsolete/deprecated status from an entity
och:newVersion	new version	skos:closeMatch	chg:newOntologyVersion	newVersion	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.95	Both represent the new version in a version change
och:prevVersion	previous version	skos:closeMatch	chg:oldOntologyVersion	oldVersion	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.95	Both represent the old version in a version change
och:issuedBy	issued by	skos:relatedMatch	dyn:appliesTo	appliesTo	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.60	Both relate changes to agents/versions but with different semantics
och:AddDomain	Add Domain	skos:relatedMatch	chg:addOtherR	addOtherR	semapv:BackgroundKnowledgeBasedMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.65	DynDiff's addOtherR includes domain/range changes among other relationship types
och:AddRange	Add Range	skos:relatedMatch	chg:addOtherR	addOtherR	semapv:BackgroundKnowledgeBasedMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.65	DynDiff's addOtherR includes domain/range changes among other relationship types
och:AddEquivalentClass	Add Equivalent Class	skos:relatedMatch	chg:addOtherR	addOtherR	semapv:BackgroundKnowledgeBasedMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.65	DynDiff's addOtherR includes equivalence relationships among other types
och:AddEquivalentProperty	Add Equivalent Property	skos:relatedMatch	chg:addOtherR	addOtherR	semapv:BackgroundKnowledgeBasedMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.65	DynDiff's addOtherR includes equivalence relationships among other types
och:EntityChange	Entity Change	skos:narrowMatch	chg:BasicChange	BasicChange	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.75	OCH's EntityChange is more specific than DynDiff's BasicChange which includes attributes and relationships
och:PropertyChange	Property Change	skos:narrowMatch	chg:BasicChangeProperties	BasicChangeProperties	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.80	Both represent property-level changes
